Recipe,Cuisine,Diet,MainIngredient,CookingTime,Difficulty
Paneer Butter Masala,Indian,Veg,Paneer,30,Medium
Chicken Tikka Masala,Indian,Non-Veg,Chicken,40,Medium
Chana Masala,Indian,Veg,Chickpeas,25,Easy
Aloo Gobi,Indian,Veg,Potato,20,Easy
Dal Makhani,Indian,Veg,Lentils,60,Medium
Chicken Biryani,Indian,Non-Veg,Chicken,50,Hard
Palak Paneer,Indian,Veg,Paneer,30,Medium
Butter Chicken,Indian,Non-Veg,Chicken,45,Medium
Vegetable Korma,Indian,Veg,Mixed Vegetables,35,Medium
Chicken Korma,Indian,Non-Veg,Chicken,40,Medium
Rogan Josh,Indian,Non-Veg,Beef,90,Hard
Masala Dosa,Indian,Veg,Rice,40,Hard
Samosa,Indian,Veg,Potato,45,Medium
Fish Curry,Indian,Non-Veg,Fish,30,Medium
Prawn Masala,Indian,Non-Veg,Shrimp,25,Medium
Matar Paneer,Indian,Veg,Paneer,25,Easy
Baingan Bharta,Indian,Veg,Eggplant,35,Medium
Jeera Rice,Indian,Veg,Rice,15,Easy
Rajma Chawal,Indian,Veg,Beans,50,Medium
Tandoori Chicken,Indian,Non-Veg,Chicken,45,Medium
Kadai Paneer,Indian,Veg,Paneer,30,Medium
Bhindi Masala,Indian,Veg,Okra,20,Easy
Chicken Chettinad,Indian,Non-Veg,Chicken,45,Hard
Malai Kofta,Indian,Veg,Potato,50,Hard
Kashmiri Dum Aloo,Indian,Veg,Potato,40,Medium
Chicken Jalfrezi,Indian,Non-Veg,Chicken,30,Medium
Methi Matar Malai,Indian,Veg,Peas,30,Medium
Egg Curry,Indian,Non-Veg,Egg,25,Easy
Lemon Rice,Indian,Veg,Rice,15,Easy
Shahi Paneer,Indian,Veg,Paneer,35,Medium
Dhokla,Indian,Veg,Gram Flour,25,Medium
Pav Bhaji,Indian,Veg,Mixed Vegetables,40,Medium
Chole Bhature,Indian,Veg,Chickpeas,60,Hard
Paneer Tikka,Indian,Veg,Paneer,25,Easy
Chicken Vindaloo,Indian,Non-Veg,Chicken,50,Hard
Keema Matar,Indian,Non-Veg,Beef,35,Medium
Gobi Manchurian,Indian,Veg,Cauliflower,35,Medium
Dal Tadka,Indian,Veg,Lentils,20,Easy
Aloo Paratha,Indian,Veg,Potato,30,Medium
Mushroom Masala,Indian,Veg,Mushroom,25,Easy
Margherita Pizza,Italian,Veg,Tomato,20,Easy
Spaghetti Bolognese,Italian,Non-Veg,Beef,45,Medium
Fettuccine Alfredo,Italian,Veg,Pasta,20,Easy
Lasagna,Italian,Non-Veg,Beef,60,Hard
Mushroom Risotto,Italian,Veg,Mushroom,40,Medium
Penne Arrabbiata,Italian,Veg,Tomato,20,Easy
Caprese Salad,Italian,Veg,Tomato,10,Easy
Chicken Parmigiana,Italian,Non-Veg,Chicken,45,Medium
Pesto Pasta,Italian,Veg,Pasta,15,Easy
Potato Gnocchi,Italian,Veg,Potato,40,Hard
Spaghetti Carbonara,Italian,Non-Veg,Egg,20,Medium
Minestrone Soup,Italian,Veg,Mixed Vegetables,35,Easy
Bruschetta,Italian,Veg,Tomato,15,Easy
Eggplant Parmesan,Italian,Veg,Eggplant,50,Medium
Shrimp Scampi,Italian,Non-Veg,Shrimp,20,Easy
Tuscan Chicken,Italian,Non-Veg,Chicken,30,Medium
Spinach Ricotta Ravioli,Italian,Veg,Pasta,45,Hard
Spaghetti Meatballs,Italian,Non-Veg,Beef,40,Medium
Seafood Marinara,Italian,Non-Veg,Shrimp,35,Medium
Chicken Piccata,Italian,Non-Veg,Chicken,25,Medium
Cacio e Pepe,Italian,Veg,Pasta,15,Easy
Veggie Calzone,Italian,Veg,Spinach,30,Medium
Frittata,Italian,Veg,Egg,20,Easy
Pasta Primavera,Italian,Veg,Mixed Vegetables,25,Easy
Polenta,Italian,Veg,Cornmeal,30,Easy
Arancini,Italian,Veg,Rice,45,Hard
Chicken Marsala,Italian,Non-Veg,Chicken,35,Medium
Ribollita,Italian,Veg,Beans,50,Medium
Panzanella Salad,Italian,Veg,Tomato,15,Easy
Osso Buco,Italian,Non-Veg,Beef,90,Hard
Cioppino,Italian,Non-Veg,Fish,45,Hard
Gnocchi Gorgonzola,Italian,Veg,Potato,30,Medium
Spinach Ricotta Cannelloni,Italian,Veg,Pasta,50,Medium
Tomato Basil Soup,Italian,Veg,Tomato,25,Easy
Baked Ziti,Italian,Veg,Pasta,35,Easy
Chicken Saltimbocca,Italian,Non-Veg,Chicken,30,Hard
Truffle Mushroom Pasta,Italian,Veg,Mushroom,25,Medium
